DATE,THREEFF10
2019-07-18,3.0975
2019-07-19,3.0942
2019-07-22,3.0918
2019-07-23,3.1012
2019-07-24,3.0901
2019-07-25,3.0975
2019-07-26,3.0937
2019-07-29,3.0742
2019-07-30,3.0679
2019-07-31,3.0357
2019-08-01,2.9270
2019-08-02,2.8810
2019-08-05,2.7972
2019-08-06,2.7651
2019-08-07,2.7482
2019-08-08,2.7485
2019-08-09,2.7616
2019-08-12,2.6952
2019-08-13,2.6974
2019-08-14,2.6315
2019-08-15,2.5630
2019-08-16,2.5630
2019-08-19,2.6011
2019-08-20,2.5751
2019-08-21,2.6011
2019-08-22,2.6159
2019-08-23,2.5515
2019-08-26,2.5516
2019-08-27,2.5099
2019-08-28,2.4836
2019-08-29,2.4963
2019-08-30,2.4938
2019-09-02,.
2019-09-03,2.4772
2019-09-04,2.4733
2019-09-05,2.5474
2019-09-06,2.5533
2019-09-09,2.6061
2019-09-10,2.6726
2019-09-11,2.7038
2019-09-12,2.7393
2019-09-13,2.8194
2019-09-16,2.7948
2019-09-17,2.7668
2019-09-18,2.7553
2019-09-19,2.7299
2019-09-20,2.6851
2019-09-23,2.6570
2019-09-24,2.5974
2019-09-25,2.6498
2019-09-26,2.6407
2019-09-27,2.6196
2019-09-30,2.6110
2019-10-01,2.5935
2019-10-02,2.5636
2019-10-03,2.5219
2019-10-04,2.5090
2019-10-07,2.5305
2019-10-08,2.5188
2019-10-09,2.5497
2019-10-10,2.6083
2019-10-11,2.6879
2019-10-14,.
2019-10-15,2.7080
2019-10-16,2.7025
2019-10-17,2.7096
2019-10-18,2.7122
2019-10-21,2.7437
2019-10-22,2.7382
2019-10-23,2.7366
2019-10-24,2.7374
2019-10-25,2.7528
2019-10-28,2.7883
2019-10-29,2.7901
2019-10-30,2.7484
2019-10-31,2.6744
2019-11-01,2.6754
2019-11-04,2.7129
2019-11-05,2.7755
2019-11-06,2.7637
2019-11-07,2.8470
2019-11-08,2.8845
2019-11-11,.
2019-11-12,2.8829
2019-11-13,2.8547
2019-11-14,2.8110
2019-11-15,2.8098
2019-11-18,2.7911
2019-11-19,2.7688
2019-11-20,2.7267
2019-11-21,2.7407
2019-11-22,2.7360
2019-11-25,2.7256
2019-11-26,2.7006
2019-11-27,2.7158
2019-11-28,.
2019-11-29,2.7223
2019-12-02,2.7663
2019-12-03,2.6994
2019-12-04,2.7211
2019-12-05,2.7447
2019-12-06,2.7831
2019-12-09,2.7862
2019-12-10,2.7929
2019-12-11,2.7565
2019-12-12,2.8249
2019-12-13,2.7890
2019-12-16,2.8293
2019-12-17,2.8427
2019-12-18,2.8868
2019-12-19,2.9002
2019-12-20,2.9118
2019-12-23,2.9210
2019-12-24,2.9088
2019-12-25,.
2019-12-26,2.9056
2019-12-27,2.8895
2019-12-30,2.9028
2019-12-31,2.9336
2020-01-01,.
2020-01-02,2.9140
2020-01-03,2.8514
2020-01-06,2.8404
2020-01-07,2.8484
2020-01-08,2.8795
2020-01-09,2.8711
2020-01-10,2.8485
2020-01-13,2.8528
2020-01-14,2.8307
2020-01-15,2.7995
2020-01-16,2.8088
2020-01-17,2.8266
2020-01-20,.
2020-01-21,2.7928
2020-01-22,2.7875
2020-01-23,2.7589
2020-01-24,2.7196
2020-01-27,2.6416
2020-01-28,2.6452
2020-01-29,2.6042
2020-01-30,2.5777
2020-01-31,2.5318
2020-02-03,2.5404
2020-02-04,2.5926
2020-02-05,2.6424
2020-02-06,2.6440
2020-02-07,2.6080
2020-02-10,2.5783
2020-02-11,2.5898
2020-02-12,2.6254
2020-02-13,2.6238
2020-02-14,2.6075
2020-02-17,.
2020-02-18,2.5783
2020-02-19,2.5839
2020-02-20,2.5495
2020-02-21,2.4934
2020-02-24,2.4267
2020-02-25,2.3791
2020-02-26,2.3776
2020-02-27,2.3680
2020-02-28,2.2674
2020-03-02,2.2521
2020-03-03,2.2036
2020-03-04,2.2075
2020-03-05,2.1514
2020-03-06,2.0322
2020-03-09,1.8704
2020-03-10,1.9622
2020-03-11,1.9683
2020-03-12,2.0065
2020-03-13,2.0602
2020-03-16,1.9029
2020-03-17,2.0777
2020-03-18,2.2640
2020-03-19,2.2899
2020-03-20,2.1739
2020-03-23,1.9992
2020-03-24,2.0098
2020-03-25,2.0299
2020-03-26,2.0055
2020-03-27,1.9251
2020-03-30,1.8913
2020-03-31,1.8840
2020-04-01,1.8317
2020-04-02,1.8301
2020-04-03,1.8245
2020-04-06,1.8596
2020-04-07,1.9119
2020-04-08,1.9514
2020-04-09,1.9394
2020-04-10,.
2020-04-13,1.9777
2020-04-14,1.9924
2020-04-15,1.9131
2020-04-16,1.8808
2020-04-17,1.8952
2020-04-20,1.8736
2020-04-21,1.8330
2020-04-22,1.8567
2020-04-23,1.8427
2020-04-24,1.8318
2020-04-27,1.8674
2020-04-28,1.8420
2020-04-29,1.8351
2020-04-30,1.8455
2020-05-01,1.8483
2020-05-04,1.8475
2020-05-05,1.8591
2020-05-06,1.9044
2020-05-07,1.8578
2020-05-08,1.8890
2020-05-11,1.9242
2020-05-12,1.9134
2020-05-13,1.8841
2020-05-14,1.8646
2020-05-15,1.8714
2020-05-18,1.9341
2020-05-19,1.9353
2020-05-20,1.9298
2020-05-21,1.9235
2020-05-22,1.9001
2020-05-25,.
2020-05-26,1.9167
2020-05-27,1.9070
2020-05-28,1.9178
2020-05-29,1.8868
2020-06-01,1.8840
2020-06-02,1.8966
2020-06-03,1.9586
2020-06-04,2.0184
2020-06-05,2.1109
2020-06-08,2.1271
2020-06-09,2.1026
2020-06-10,2.0358
2020-06-11,1.9583
2020-06-12,1.9508
2020-06-15,1.9470
2020-06-16,1.9695
2020-06-17,1.9669
2020-06-18,1.9454
2020-06-19,1.9343
2020-06-22,1.9334
2020-06-23,1.9346
2020-06-24,1.9218
2020-06-25,1.9151
2020-06-26,1.8826
2020-06-29,1.8612
2020-06-30,1.8710
2020-07-01,1.8943
2020-07-02,1.8919
2020-07-03,.
2020-07-06,1.9031
2020-07-07,1.8764
2020-07-08,1.8751
2020-07-09,1.8429
2020-07-10,1.8557
2020-07-13,1.8496
2020-07-14,1.8363
2020-07-15,1.8387
2020-07-16,1.8296
2020-07-17,1.8358
2020-07-20,1.8297
2020-07-21,1.8151
2020-07-22,1.8119
2020-07-23,1.7958
2020-07-24,1.7895
2020-07-27,1.8003
2020-07-28,1.7776
2020-07-29,1.7669
2020-07-30,1.7405
2020-07-31,1.7272
2020-08-03,1.7316
2020-08-04,1.7012
2020-08-05,1.7137
2020-08-06,1.7098
2020-08-07,1.7260
2020-08-10,1.7410
2020-08-11,1.7840
2020-08-12,1.8299
2020-08-13,1.8692
2020-08-14,1.8820
